2013-12-27,277198
2014-01-03,278387
2014-01-10,279660
2014-01-17,280958
2014-01-24,282198
2014-01-31,283341
2014-02-07,284594
2014-02-14,285754
2014-02-21,287015
2014-02-28,288246
2014-03-07,289335
2014-03-14,290492
2014-03-21,291611
2014-03-28,292863
2014-04-04,294112
2014-04-11,295212
2014-04-18,296434
2014-04-25,297583
2014-05-02,298729
2014-05-09,299836
2014-05-16,300998
2014-05-23,302207
2014-05-30,303290
2014-06-06,304474
2014-06-13,305548
2014-06-20,306779
2014-06-27,308066
2014-07-04,309127
2014-07-11,310209
2014-07-18,311290
2014-07-25,312378
2014-08-01,313445
2014-08-08,314509
2014-08-15,315704
2014-08-22,316926
2014-08-29,318037
2014-09-05,319185
2014-09-12,320279
2014-09-19,321474
2014-09-26,322614
2014-10-03,323607
2014-10-10,324651
2014-10-17,325691
2014-10-24,326741
2014-10-31,327804
2014-11-06,328782
